N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,29.44606392482905,2,8.67735526697563,10.109875244575116,435.611225664072,3.121394502259622,4,11.743910096203432,57.60730813596583,188.19495775411988,1,2.7196142681382094,3,95.6499853668432,1.1932932982959272
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,12.851182636936995,3,5.754287955222303,12.048049798316915,401.45185974634256,2.142020928535281,4,16.797101236780506,74.73687900741903,70.96362942364794,1,4.714427327225068,2,77.26569365523096,1.7526716815799783
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,29.363912891054824,2,9.875230096038331,9.05134891346406,357.4179627074981,1.4749737247687815,1,12.654394579097698,1.034478009144435,191.97607728111197,1,30.43173647520732,2,18.192167864978813,3.035541019903109
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,26.20773239299878,3,8.023684684293785,7.963606057288741,363.6943055002588,8.393907171864402,1,10.864360184826303,24.09188793478396,55.76138848397649,3,10.861071276483274,3,82.81872017326596,1.2733406458545562
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,28.236236135835615,2,8.12051188272924,19.264133422858432,410.35645777701023,5.202285434682235,3,13.852910054226465,38.811481435085696,185.25970154082896,2,47.19077674711596,3,25.466498927055326,2.578671084995216
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,23.61311519614218,3,10.873767569219408,2.728812124554161,428.7284296936261,5.958483178119839,5,13.478474458070083,82.07341331570409,135.92906584189868,3,42.15873477813557,3,43.42633430045652,1.7536156668614868
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,15.333693105308976,2,8.726839860577611,4.715023586814744,398.3170075705707,7.389915833434773,1,13.487610448270203,48.81462557502119,121.1736596015814,1,1.592171825417832,3,50.01897066431516,3.171514124476316
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,20.835640482532128,3,10.719887142177978,6.627556793662457,379.8472815222341,1.2420726896565475,4,8.63078182173721,80.12783103951577,195.7361604567481,1,14.415279885864967,1,18.08996232939174,3.1795385786845385
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,26.64065576840069,2,11.600185637716663,7.309391590701411,446.3333843786954,8.821774607066256,2,11.260104812933562,89.87019212181914,73.44697633488323,3,48.13877175140959,3,98.37740877207062,1.5309800787118886
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,24.368852917432807,3,6.413153902771772,15.395845984336622,377.3990151601595,4.24170639150573,1,11.88543252673378,26.5442576049046,72.79170148098056,1,45.647152908162894,2,63.33575198203821,4.586856058247635
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,20.459145741082907,2,6.43288482293385,18.241282308646483,397.4717144170916,7.686282485746422,3,19.80376704152053,43.0149813897197,88.35389727182411,1,25.44276360101112,3,0.8030068386047917,1.4760491681677208
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,15.404600446017936,2,8.554866438403772,3.5335211917178566,387.838957847824,3.312374645893745,2,6.024622352933802,65.42929939559889,162.39579093341422,1,36.39975138070278,2,79.21176901091427,4.956311495518364
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,15.69649075752503,1,5.962473079366161,7.89643882264818,359.04279531520604,6.142806338720238,6,7.755604910749735,44.776936686283655,196.08297109004903,3,7.030797616012851,3,26.72412345028374,1.5690463286676493
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,18.102299560975805,3,10.509164776834664,4.249812524263021,439.9141828695301,3.208669383951548,2,7.552875738109826,80.6212931315953,83.06454514117044,1,40.4247179730376,2,12.45162810967173,1.0297367847931582
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,19.742522826826036,2,7.613462956316367,3.9259507614610967,431.6839322952465,1.1538330760013102,4,13.520434354100503,91.7188882485618,78.3083947509769,2,10.157776806077878,2,30.71243535709793,4.410523115565436
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,23.34511451117176,1,10.168697865057386,13.214305576708757,386.14283047459605,8.705518065479506,3,14.312229905712677,13.358098388005168,117.26676065919187,3,43.476465497635566,1,50.39889549176869,1.3745635802528169
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,12.287843010348428,1,10.748001538790213,18.99798488965525,435.4804751841295,8.55056918740796,1,15.303243639522,31.42938168793934,182.0508467996191,3,14.486082459985944,2,38.68300438556499,1.1359236150294585
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,20.505529046999705,2,8.914357978526676,5.605837157503199,362.0769125293712,5.083744266596145,5,6.886703068768259,14.483418321200748,74.4938501084522,3,35.14762403771211,3,77.8685812971585,1.085565894426281
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,19.86297771132577,3,9.604758001573376,15.037544987768992,449.099982387764,3.287939301403511,6,8.66938933565357,50.16163399739286,75.75147164765943,2,4.852330346328937,1,83.16991783223679,2.290178559584014
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,25.75100657263861,1,5.156131899329995,11.966922691518535,387.84517226922674,8.826688210121965,6,13.41922724517027,21.42755696379507,87.37678676139276,2,24.83894964192667,2,49.834587199231606,1.3075942280167938
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,17.850955791197684,1,11.30220543702904,2.5680289175683435,386.9120485709592,8.137254880064633,2,13.331189009949806,90.87507422306253,145.35805048578587,2,43.27565016907384,1,3.070325598982515,1.4701086515910866
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,16.92544358289537,2,7.193711117792186,16.94274790637595,380.1545777290284,3.757578539131919,6,11.439381139697474,43.70821709513933,69.95604214677172,3,9.150663021420286,3,94.38189733419962,3.672312161909824
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,13.9285897742515,3,8.401741241240257,17.444358494246778,427.3210034453396,4.9411167167386605,1,5.261348665063728,37.08392899537516,177.95358783440952,3,23.13274544495867,3,15.47295955998289,2.4656465098439284
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,15.054079970805905,1,8.353858331438325,1.0286659731733572,422.1631803965448,5.1542050838430695,2,5.844103097052975,71.06154282829911,68.9503249773089,1,43.62347417344994,3,20.140472654441886,2.686871510725461
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,21.665501586766386,3,11.40035146640266,7.178125230806383,387.1073930580847,2.524754582480912,3,7.674413593102753,66.68658019500681,56.29101402022205,3,33.55821259097579,2,77.15182533785733,2.6293142066193536
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,13.741746858175928,2,8.232858165322387,1.2902067748532486,434.99224295037806,7.417834013024693,2,13.420275630579985,66.96630853056874,161.99888092080016,1,21.855042906713884,1,75.12350816058637,3.988721923678906
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,25.52548813642485,1,5.029698818479235,12.957018280144002,354.2222341724808,2.3172103907133668,2,10.720871310411214,89.94165562227481,123.91618268614567,1,15.840594303675386,3,80.56353348649273,2.7810452572861557
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,16.9004052999644,1,7.130601915609544,16.285840161183593,387.0109983219061,4.229277117008785,1,9.288550189993176,34.12657847522734,186.48685102113703,3,27.329056036699583,1,29.00824790733667,4.596199347451918
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,14.07087343441151,1,8.20556958897901,18.85925311258835,382.4049654362147,6.409720868261506,4,15.92940372453539,42.57121963780162,54.46000266994612,2,27.513657535428003,3,24.079101189899237,1.169038310400524
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,12.41872292580177,3,6.495707284772177,13.90703851581521,385.59068019596657,4.852641176937873,5,6.141819410846823,41.556331929529954,123.11369498702734,3,15.718680974054983,1,49.51670996926777,1.457174298152816
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,24.03853195047953,2,7.395417364492115,15.97704743199468,409.13507585559415,2.374012772166458,4,14.308048809199102,45.57980344027099,143.3450708523203,1,33.469149566509856,1,72.29219081889899,3.667281714640228
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,11.78666410407552,2,7.827432567657639,19.205834810173457,449.7528366782212,1.161099444786298,3,10.644278367228107,32.18107344470167,112.78792329339365,1,30.478580663185745,3,87.23012611655435,3.8583490632502895
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,18.58080280678941,1,10.681930603549745,3.936908658170577,440.5935604117024,4.719268902845018,6,15.78996607668547,5.000830207015228,73.55137622003463,1,22.972076616170384,2,11.030281219282845,1.2581960363365012
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,12.173006937040183,3,7.411662488078816,5.978189568747238,437.3522817666761,8.659881716344454,6,10.992251318755232,46.72542365743689,134.2455911192905,2,49.82165834015599,1,41.05329141913438,3.4668364446701974
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,23.33402741040184,3,11.435795412825094,1.123597347821832,428.43707637137913,5.118385270098012,5,8.58871956139635,2.002447204415725,127.80651505647134,1,2.910249616931365,1,71.06733199806864,3.478428457663009
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,23.978828255346407,3,11.40265470663751,14.23982332784258,440.2770546568698,2.8606047983092937,6,19.940179865130624,18.592823085504907,148.6785351076055,1,29.808356985813404,3,87.44669457509315,4.937106996587655
